Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
11/17/23,11/17/23,11/20/23,NVDA,NVDA 11/17/2023 Put $492.50,STC,1,$3.25 ,$324.95 
11/17/23,11/17/23,11/20/23,NVDA,NVDA 11/17/2023 Put $492.50,STC,1,$3.25 ,$324.95 
11/17/23,11/17/23,11/20/23,NVDA,NVDA 11/17/2023 Put $495.00,BTC,1,$5.08 ,($508.03)
11/17/23,11/17/23,11/20/23,NVDA,NVDA 11/17/2023 Put $495.00,BTC,1,$5.08 ,($508.03)
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Put $492.50,BTO,2,$2.83 ,($566.06)
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Put $495.00,STO,2,$3.93 ,$785.92 
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $497.50,BTC,2,$2.69 ,($538.06)
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $500.00,STC,2,$1.86 ,$371.92 
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $497.50,STO,1,$1.32 ,$131.95 
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $497.50,STO,1,$1.32 ,$131.95 
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $500.00,BTO,1,$0.97 ,($97.03)
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $500.00,BTO,1,$0.97 ,($97.03)
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $507.50,STC,2,$0.41 ,$81.92 
11/16/23,11/16/23,11/17/23,NVDA,NVDA 11/17/2023 Call $505.00,BTC,2,$0.57 ,($114.06)
11/14/23,11/14/23,11/15/23,NVDA,NVDA 11/17/2023 Call $505.00,STO,2,$4.63 ,$925.92 
11/14/23,11/14/23,11/15/23,NVDA,NVDA 11/17/2023 Call $507.50,BTO,2,$3.92 ,($784.06)
11/14/23,11/14/23,11/15/23,TSLA,TSLA 11/17/2023 Put $215.00,BTC,1,$0.43 ,($43.03)
11/14/23,11/14/23,11/15/23,TSLA,TSLA 11/17/2023 Put $212.50,STC,1,$0.30 ,$29.95 
11/13/23,11/13/23,11/14/23,TSLA,TSLA 11/17/2023 Put $215.00,STO,1,$2.03 ,$202.95 
11/13/23,11/13/23,11/14/23,TSLA,TSLA 11/17/2023 Put $212.50,BTO,1,$1.51 ,($151.03)
11/8/23,11/8/23,11/9/23,NVDA,NVDA 11/10/2023 Call $470.00,BTC,1,$4.43 ,($443.03)
11/8/23,11/8/23,11/9/23,NVDA,NVDA 11/10/2023 Call $475.00,STC,1,$2.53 ,$252.95 
11/8/23,11/8/23,11/9/23,NVDA,NVDA 11/10/2023 Call $470.00,STO,1,$2.53 ,$252.95 
11/8/23,11/8/23,11/9/23,NVDA,NVDA 11/10/2023 Call $475.00,BTO,1,$1.40 ,($140.03)
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $116.00,STC,1,$0.55 ,$54.95 
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $115.00,BTC,1,$0.85 ,($85.03)
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $116.00,STC,1,$0.52 ,$51.95 
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $116.00,STC,1,$0.52 ,$51.95 
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $115.00,BTC,1,$0.81 ,($81.03)
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $115.00,BTC,1,$0.81 ,($81.03)
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $116.00,BTO,1,$0.54 ,($54.03)
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $116.00,BTO,1,$0.54 ,($54.03)
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $116.00,BTO,1,$0.54 ,($54.03)
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $115.00,STO,1,$0.80 ,$79.95 
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $115.00,STO,1,$0.80 ,$79.95 
11/8/23,11/8/23,11/9/23,AMD,AMD 11/10/2023 Call $115.00,STO,1,$0.80 ,$79.95 
11/3/23,11/3/23,11/6/23,COIN,COIN 11/3/2023 Call $85.00,BTC,6,$1.85 ,"($1,110.18)"
11/3/23,11/3/23,11/6/23,COIN,COIN 11/3/2023 Call $86.00,STC,6,$1.23 ,$737.80 
11/3/23,11/3/23,11/6/23,COIN,COIN 11/3/2023 Put $76.00,STC,1,$0.07 ,$6.95 
11/3/23,11/3/23,11/6/23,COIN,COIN 11/3/2023 Put $77.00,BTC,1,$0.12 ,($12.03)
11/3/23,11/3/23,11/6/23,COIN,COIN 11/3/2023 Put $77.00,BTC,1,$0.12 ,($12.03)
11/3/23,11/3/23,11/6/23,COIN,COIN 11/3/2023 Put $76.00,STC,1,$0.07 ,$6.95 
11/2/23,11/2/23,11/3/23,COIN,COIN 11/3/2023 Put $76.00,BTO,1,$1.11 ,($111.03)
11/2/23,11/2/23,11/3/23,COIN,COIN 11/3/2023 Put $76.00,BTO,1,$1.11 ,($111.03)
11/2/23,11/2/23,11/3/23,COIN,COIN 11/3/2023 Put $77.00,STO,1,$1.27 ,$126.95 
11/2/23,11/2/23,11/3/23,COIN,COIN 11/3/2023 Put $77.00,STO,1,$1.27 ,$126.95 
11/2/23,11/2/23,11/3/23,COIN,COIN 11/3/2023 Call $85.00,STO,6,$2.28 ,"$1,367.79 "
11/2/23,11/2/23,11/3/23,COIN,COIN 11/3/2023 Call $86.00,BTO,6,$1.90 ,"($1,140.18)"
11/2/23,11/2/23,11/3/23,NFLX,NFLX 11/3/2023 Put $412.50,STC,1,$0.43 ,$42.95 
11/2/23,11/2/23,11/3/23,NFLX,NFLX 11/3/2023 Put $415.00,BTC,1,$0.71 ,($71.03)
11/2/23,11/2/23,11/3/23,NVDA,NVDA 11/3/2023 Put $410.00,BTC,1,$0.16 ,($16.03)
11/2/23,11/2/23,11/3/23,NVDA,NVDA 11/3/2023 Put $407.50,STC,1,$0.10 ,$9.95 
11/1/23,11/1/23,11/2/23,NFLX,NFLX 11/3/2023 Put $412.50,BTO,1,$1.95 ,($195.03)
11/1/23,11/1/23,11/2/23,NFLX,NFLX 11/3/2023 Put $415.00,STO,1,$2.65 ,$264.95 
11/1/23,11/1/23,11/2/23,NVDA,NVDA 11/3/2023 Put $410.00,STO,1,$3.10 ,$309.95 
11/1/23,11/1/23,11/2/23,NVDA,NVDA 11/3/2023 Put $407.50,BTO,1,$2.48 ,($248.03)
10/31/23,10/31/23,10/31/23,,Interest Payment,INT,,,$0.07 
10/31/23,10/31/23,11/1/23,NVDA,NVDA 11/3/2023 Call $417.50,STC,2,$2.23 ,$445.92 
10/31/23,10/31/23,11/1/23,NVDA,NVDA 11/3/2023 Call $415.00,BTC,2,$2.88 ,($576.06)
10/30/23,10/30/23,10/31/23,NVDA,NVDA 11/3/2023 Call $417.50,BTO,2,$4.61 ,($922.06)
10/30/23,10/30/23,10/31/23,NVDA,NVDA 11/3/2023 Call $415.00,STO,2,$5.52 ,"$1,103.92 "
10/30/23,10/30/23,10/31/23,,ACH Deposit,ACH,,,$60.00 
10/27/23,10/27/23,10/30/23,,ACH Withdrawal,ACH,,,($150.00)
10/27/23,10/27/23,10/30/23,NVDA,NVDA 10/27/2023 Call $405.00,STC,1,$0.39 ,$38.95 
10/27/23,10/27/23,10/30/23,NVDA,NVDA 10/27/2023 Call $400.00,BTC,1,$2.90 ,($290.03)
10/27/23,10/27/23,10/30/23,NVDA,NVDA 10/27/2023 Call $405.00,BTO,1,$0.44 ,($44.03)
10/27/23,10/27/23,10/30/23,NVDA,NVDA 10/27/2023 Call $400.00,STO,1,$2.46 ,$245.95 
10/27/23,10/27/23,10/30/23,NVDA,NVDA 10/27/2023 Call $415.00,BTC,2,$0.17 ,($34.06)
10/27/23,10/27/23,10/30/23,NVDA,NVDA 10/27/2023 Call $417.50,STC,2,$0.07 ,$13.92 
10/26/23,10/26/23,10/27/23,NVDA,NVDA 10/27/2023 Call $415.00,STO,2,$1.60 ,$319.92 
10/26/23,10/26/23,10/27/23,NVDA,NVDA 10/27/2023 Call $417.50,BTO,2,$1.15 ,($230.06)
10/25/23,10/25/23,10/26/23,NVDA,NVDA 10/27/2023 Call $427.50,BTC,2,$5.22 ,"($1,044.06)"
10/25/23,10/25/23,10/26/23,NVDA,NVDA 10/27/2023 Call $430.00,STC,2,$4.12 ,$823.92 
10/25/23,10/25/23,10/26/23,NVDA,NVDA 10/27/2023 Call $427.50,BTC,1,$4.60 ,($460.03)
10/25/23,10/25/23,10/26/23,NVDA,NVDA 10/27/2023 Call $430.00,STC,1,$3.65 ,$364.95 
10/25/23,10/25/23,10/26/23,NVDA,NVDA 10/27/2023 Call $427.50,STO,3,$7.15 ,"$2,144.88 "
10/25/23,10/25/23,10/26/23,NVDA,NVDA 10/27/2023 Call $430.00,BTO,3,$5.85 ,"($1,755.09)"
10/25/23,10/25/23,10/26/23,TSLA,TSLA 10/27/2023 Put $212.50,STC,2,$1.39 ,$277.92 
10/25/23,10/25/23,10/26/23,TSLA,TSLA 10/27/2023 Put $215.00,BTC,2,$2.04 ,($408.06)
10/23/23,10/23/23,10/24/23,TSLA,TSLA 10/27/2023 Put $212.50,BTO,2,$3.71 ,($742.00)
10/23/23,10/23/23,10/24/23,TSLA,TSLA 10/27/2023 Put $215.00,STO,2,$4.74 ,$947.98 
10/23/23,10/23/23,10/23/23,,Instant bank transfer - account ending in 0175,RTP,,,($11.82)
10/23/23,10/23/23,10/23/23,,Instant bank transfer - withdrawal fee,RTP,,,($0.18)
10/23/23,10/23/23,10/23/23,,Instant bank transfer - withdrawal fee,RTP,,,($1.95)
10/23/23,10/23/23,10/23/23,,Instant bank transfer - account ending in 0175,RTP,,,($128.05)
10/23/23,10/23/23,10/23/23,,Instant bank transfer - withdrawal fee,RTP,,,($4.68)
10/23/23,10/23/23,10/23/23,,Instant bank transfer - account ending in 0175,RTP,,,($307.09)
10/20/23,10/20/23,10/23/23,NVDA,Option Expiration for NVDA 10/20/2023 Call $425.00,OEXP,3,,
10/20/23,10/20/23,10/23/23,NVDA,Option Expiration for NVDA 10/20/2023 Call $427.50,OEXP,3S,,
10/20/23,10/20/23,10/23/23,,ACH Deposit,ACH,,,$20.00 
10/20/23,10/20/23,10/23/23,NVDA,NVDA 10/20/2023 Put $412.50,BTC,3,$0.07 ,($21.00)
10/20/23,10/20/23,10/23/23,NVDA,NVDA 10/20/2023 Put $410.00,STC,3,$0.01 ,$2.98 
10/20/23,10/20/23,10/23/23,NVDA,NVDA 10/20/2023 Call $425.00,STO,3,$0.43 ,$128.98 
10/20/23,10/20/23,10/23/23,NVDA,NVDA 10/20/2023 Put $412.50,STO,3,$0.95 ,$284.98 
10/20/23,10/20/23,10/23/23,NVDA,NVDA 10/20/2023 Call $427.50,BTO,3,$0.24 ,($72.00)
10/20/23,10/20/23,10/23/23,NVDA,NVDA 10/20/2023 Put $410.00,BTO,3,$0.56 ,($168.00)
10/20/23,10/20/23,10/23/23,TSLA,TSLA 10/20/2023 Call $225.00,BTC,1,$0.07 ,($7.00)
10/20/23,10/20/23,10/23/23,TSLA,TSLA 10/20/2023 Call $225.00,BTC,1,$0.07 ,($7.00)
10/20/23,10/20/23,10/23/23,TSLA,TSLA 10/20/2023 Call $227.50,STC,1,$0.03 ,$2.98 
10/20/23,10/20/23,10/23/23,TSLA,TSLA 10/20/2023 Call $227.50,STC,1,$0.03 ,$2.98 
10/19/23,10/19/23,10/20/23,TSLA,TSLA 10/20/2023 Call $225.00,STO,1,$1.07 ,$106.98 
10/19/23,10/19/23,10/20/23,TSLA,TSLA 10/20/2023 Call $225.00,STO,1,$1.07 ,$106.98 
10/19/23,10/19/23,10/20/23,TSLA,TSLA 10/20/2023 Call $227.50,BTO,1,$0.62 ,($62.00)
10/19/23,10/19/23,10/20/23,TSLA,TSLA 10/20/2023 Call $227.50,BTO,1,$0.62 ,($62.00)
10/19/23,10/19/23,10/20/23,META,META 10/20/2023 Call $317.50,STC,3,$1.26 ,$377.98 
10/19/23,10/19/23,10/20/23,META,META 10/20/2023 Call $315.00,BTC,3,$2.11 ,($633.00)
10/19/23,10/19/23,10/20/23,META,META 10/20/2023 Call $317.50,BTO,3,$3.02 ,($906.00)
10/19/23,10/19/23,10/20/23,META,META 10/20/2023 Call $315.00,STO,3,$4.41 ,"$1,322.97 "
10/19/23,10/19/23,10/20/23,TSLA,TSLA 10/20/2023 Call $257.50,BTC,1,$0.05 ,($5.00)
10/19/23,10/19/23,10/20/23,TSLA,TSLA 10/20/2023 Call $260.00,STC,1,$0.03 ,$2.98 
10/18/23,10/18/23,10/19/23,TSLA,TSLA 10/20/2023 Call $257.50,STO,1,$3.30 ,$329.98 
10/18/23,10/18/23,10/19/23,TSLA,TSLA 10/20/2023 Call $260.00,BTO,1,$2.70 ,($270.00)
10/18/23,10/18/23,10/19/23,META,META 10/20/2023 Put $305.00,STC,1,$0.42 ,$41.98 
10/18/23,10/18/23,10/19/23,META,META 10/20/2023 Call $330.00,BTC,1,$1.11 ,($111.00)
10/18/23,10/18/23,10/19/23,META,META 10/20/2023 Call $332.50,STC,1,$0.69 ,$68.98 
10/18/23,10/18/23,10/19/23,META,META 10/20/2023 Put $307.50,BTC,1,$0.59 ,($59.00)
10/16/23,10/16/23,10/17/23,META,META 10/20/2023 Call $332.50,BTO,1,$0.89 ,($89.00)
10/16/23,10/16/23,10/17/23,META,META 10/20/2023 Call $330.00,STO,1,$1.33 ,$132.98 
10/16/23,10/16/23,10/17/23,META,META 10/20/2023 Put $307.50,STO,1,$0.89 ,$88.98 
10/16/23,10/16/23,10/17/23,META,META 10/20/2023 Put $305.00,BTO,1,$0.68 ,($68.00)
10/16/23,10/16/23,10/17/23,,ACH Deposit,ACH,,,$269.00 
9/15/23,9/15/23,9/18/23,,ACH Deposit,ACH,,,$1.00 
9/15/23,9/15/23,9/18/23,,ACH Deposit,ACH,,,$1.00 
8/16/23,8/16/23,8/17/23,,ACH Withdrawal,ACH,,,($110.35)
8/11/23,8/11/23,8/14/23,TSLA,TSLA 8/11/2023 Put $247.50,STC,1,$6.90 ,$689.98 
8/11/23,8/11/23,8/14/23,TSLA,TSLA 8/11/2023 Put $247.50,STC,7,$6.90 ,"$4,829.94 "
8/11/23,8/11/23,8/14/23,TSLA,TSLA 8/11/2023 Put $250.00,BTC,7,$9.35 ,"($6,545.00)"
8/11/23,8/11/23,8/14/23,TSLA,TSLA 8/11/2023 Put $250.00,BTC,1,$9.35 ,($935.00)
8/10/23,8/10/23,8/11/23,TSLA,TSLA 8/11/2023 Put $247.50,BTO,1,$2.15 ,($215.00)
8/10/23,8/10/23,8/11/23,TSLA,TSLA 8/11/2023 Put $247.50,BTO,7,$2.15 ,"($1,505.00)"
8/10/23,8/10/23,8/11/23,TSLA,TSLA 8/11/2023 Put $250.00,STO,7,$3.35 ,"$2,344.96 "
8/10/23,8/10/23,8/11/23,TSLA,TSLA 8/11/2023 Put $250.00,STO,1,$3.35 ,$334.98 
8/10/23,8/10/23,8/11/23,META,META 8/11/2023 Put $295.00,BTC,8,$0.10 ,($80.00)
8/10/23,8/10/23,8/11/23,META,META 8/11/2023 Call $315.00,STC,8,$1.56 ,"$1,247.97 "
8/10/23,8/10/23,8/11/23,META,META 8/11/2023 Call $312.50,BTC,8,$2.65 ,"($2,120.00)"
8/10/23,8/10/23,8/11/23,META,META 8/11/2023 Put $292.50,STC,8,$0.06 ,$47.97 
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $292.50,BTO,4,$0.78 ,($312.00)
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $295.00,STO,4,$1.17 ,$467.98 
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $315.00,BTO,4,$0.59 ,($236.00)
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $312.50,STO,4,$0.93 ,$371.98 
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $292.50,BTO,4,$0.78 ,($312.00)
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $295.00,STO,4,$1.17 ,$467.98 
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $315.00,BTO,4,$0.59 ,($236.00)
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $312.50,STO,4,$0.93 ,$371.98 
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $322.50,BTC,5,$0.16 ,($80.00)
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $322.50,BTC,5,$0.16 ,($80.00)
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $325.00,STC,5,$0.10 ,$49.98 
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Call $325.00,STC,5,$0.10 ,$49.98 
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $300.00,STC,5,$2.59 ,"$1,294.97 "
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $300.00,STC,5,$2.59 ,"$1,294.97 "
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $302.50,BTC,5,$3.62 ,"($1,810.00)"
8/9/23,8/9/23,8/10/23,META,META 8/11/2023 Put $302.50,BTC,5,$3.62 ,"($1,810.00)"
8/8/23,8/8/23,8/9/23,META,META 8/11/2023 Call $322.50,STO,10,$1.12 ,"$1,119.97 "
8/8/23,8/8/23,8/9/23,META,META 8/11/2023 Call $325.00,BTO,10,$0.73 ,($730.00)
8/8/23,8/8/23,8/9/23,META,META 8/11/2023 Put $300.00,BTO,10,$0.84 ,($840.00)
8/8/23,8/8/23,8/9/23,META,META 8/11/2023 Put $302.50,STO,10,$1.18 ,"$1,179.97 "
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $235.00,BTC,1,$0.84 ,($84.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $232.50,STC,1,$0.56 ,$55.98 
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $260.00,BTC,1,$1.12 ,($112.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $262.50,STC,1,$0.78 ,$77.98 
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $235.00,BTC,2,$0.84 ,($168.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $235.00,BTC,2,$0.84 ,($168.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $235.00,BTC,2,$0.84 ,($168.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $232.50,STC,2,$0.56 ,$111.98 
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $232.50,STC,2,$0.56 ,$111.98 
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Put $232.50,STC,2,$0.56 ,$111.98 
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $260.00,BTC,2,$1.12 ,($224.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $260.00,BTC,2,$1.12 ,($224.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $260.00,BTC,2,$1.12 ,($224.00)
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $262.50,STC,2,$0.78 ,$155.98 
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $262.50,STC,2,$0.78 ,$155.98 
8/8/23,8/8/23,8/9/23,TSLA,TSLA 8/11/2023 Call $262.50,STC,2,$0.78 ,$155.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $242.50,STC,3,$3.02 ,$905.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $272.50,STC,3,$0.39 ,$116.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $270.00,BTC,3,$0.51 ,($153.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $245.00,BTC,3,$3.95 ,"($1,185.00)"
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $235.00,STO,7,$1.52 ,"$1,063.97 "
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $232.50,BTO,7,$1.13 ,($791.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $260.00,STO,7,$1.52 ,"$1,063.97 "
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $262.50,BTO,7,$1.14 ,($798.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $242.50,STC,1,$3.42 ,$341.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $272.50,STC,1,$0.39 ,$38.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $270.00,BTC,1,$0.52 ,($52.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $242.50,STC,1,$3.42 ,$341.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $242.50,STC,2,$3.42 ,$683.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $272.50,STC,1,$0.39 ,$38.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $272.50,STC,2,$0.39 ,$77.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $270.00,BTC,1,$0.52 ,($52.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $270.00,BTC,2,$0.52 ,($104.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $245.00,BTC,1,$4.40 ,($440.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $245.00,BTC,1,$4.40 ,($440.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $245.00,BTC,2,$4.40 ,($880.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $242.50,STC,2,$3.42 ,$683.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $242.50,STC,3,$3.42 ,"$1,025.98 "
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $272.50,STC,2,$0.39 ,$77.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $272.50,STC,3,$0.39 ,$116.98 
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $270.00,BTC,2,$0.52 ,($104.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Call $270.00,BTC,3,$0.52 ,($156.00)
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $245.00,BTC,3,$4.40 ,"($1,320.00)"
8/7/23,8/7/23,8/8/23,TSLA,TSLA 8/11/2023 Put $245.00,BTC,2,$4.40 ,($880.00)
8/4/23,8/4/23,8/7/23,TSLA,TSLA 8/11/2023 Put $242.50,BTO,12,$1.16 ,"($1,392.00)"
8/4/23,8/4/23,8/7/23,TSLA,TSLA 8/11/2023 Call $272.50,BTO,12,$1.71 ,"($2,052.00)"
8/4/23,8/4/23,8/7/23,TSLA,TSLA 8/11/2023 Call $270.00,STO,12,$2.18 ,"$2,615.94 "
8/4/23,8/4/23,8/7/23,TSLA,TSLA 8/11/2023 Put $245.00,STO,12,$1.55 ,"$1,859.95 "
8/4/23,8/4/23,8/7/23,,ACH Withdrawal,ACH,,,"($1,250.00)"
8/4/23,8/4/23,8/7/23,META,META 8/4/2023 Put $302.50,STC,14,$0.03 ,$41.96 
8/4/23,8/4/23,8/7/23,META,META 8/4/2023 Put $305.00,BTC,14,$0.08 ,($112.00)
8/4/23,8/4/23,8/7/23,META,META 8/4/2023 Call $317.50,BTC,14,$0.38 ,($532.00)
8/4/23,8/4/23,8/7/23,META,META 8/4/2023 Call $320.00,STC,14,$0.13 ,$181.96 
8/3/23,8/3/23,8/4/23,META,META 8/4/2023 Put $302.50,BTO,5,$0.54 ,($270.00)
8/3/23,8/3/23,8/4/23,META,META 8/4/2023 Put $302.50,BTO,4,$0.54 ,($216.00)
8/3/23,8/3/23,8/4/23,META,META 8/4/2023 Put $302.50,BTO,5,$0.54 ,($270.00)
8/3/23,8/3/23,8/4/23,META,META 8/4/2023 Put $305.00,STO,5,$0.83 ,$414.98 
8/3/23,8/3/23,8/4/23,META,META 8/4/2023 Put $305.00,STO,5,$0.83 ,$414.98 
